Category,Ticker,Name,Last_Price_INR,Daily_Change_Pct,Annual_Volatility_Pct,Risk_Bracket,SMA_20,RSI_14,Trend_Signal,Daily_95%_VaR_INR,MC_Prob_Up_Pct,MC_Worst_Case_Loss_Pct
Indices,^NSEI,Nifty 50 Index (NSE),30399.03988682788,0.536107987967523,12.588416507882874,LOW RISK (Conservative),29454.31954520062,75.78336299449222,SELL,121.28121499756533,55.76,3.661413903435827
Indices,^BSESN,BSE Sensex Index (BSE),81804.2971594252,0.7065820757223923,11.215033939006686,LOW RISK (Conservative),80905.98005736836,64.9000449113959,HOLD,115.3817791181118,58.879999999999995,3.1643964048470967
ETFs (Commodity & Equity),GOLDBEES.NS,Nippon India Gold ETF (Gold Commodity Proxy),69.82577823870382,1.565727383698974,14.280481669388696,LOW RISK (Conservative),70.75460429575844,37.97696483445185,HOLD,145.43823508009936,55.7,4.344082264533771
ETFs (Commodity & Equity),SILVERBEES.NS,Nippon India Silver ETF (Silver Commodity Proxy),102.03216372611864,0.8410501573998568,17.72032498431293,MEDIUM RISK (Moderate),101.10332298500502,54.49541930170983,HOLD,178.48908086609117,54.279999999999994,5.388408667127221
ETFs (Commodity & Equity),NIFTYBEES.NS,Nippon India Nifty 50 ETF,261.2869397437005,0.06332131740354434,11.764847027923352,LOW RISK (Conservative),258.5329017166503,74.76927002269036,SELL,122.81188894762006,56.00000000000001,3.566087636129726
Stocks/Sectors,RELIANCE.NS,Reliance Industries (Energy / Conglomerate),3624.622008215651,0.9617394073553048,17.97438393692205,MEDIUM RISK (Moderate),3553.6727103864164,69.79843297451619,HOLD,177.823812980782,55.44,5.319434406814008
Stocks/Sectors,TCS.NS,Tata Consultancy Services (Information Technology),4660.553862756879,-0.15229866381752163,16.546400313214104,MEDIUM RISK (Moderate),4672.198881974913,53.8384417973011,HOLD,166.3953025144037,53.6,4.842186554585223
Stocks/Sectors,HDFCBANK.NS,HDFC Bank (Financials),1352.3957729207054,0.23129383856508634,16.37351482484292,MEDIUM RISK (Moderate),1376.5991074932208,38.35198129246597,HOLD,177.63454691759605,55.34,4.939282461442565
Stocks/Sectors,INFY.NS,Infosys Limited (Information Technology),2367.582047852985,-0.584463310262012,19.513217118960497,MEDIUM RISK (Moderate),2333.8106992130924,50.380348804489884,HOLD,192.97145945069008,53.900000000000006,5.72446083605808
Stocks/Sectors,ICICIBANK.NS,ICICI Bank (Financials),1321.5806846099242,-0.04305786533626475,17.135503357922467,MEDIUM RISK (Moderate),1293.193843560687,59.40258641562044,HOLD,172.58062391520667,54.74,4.998655946747724
