Category,Ticker,Name,Last_Price,Daily_Change_Pct,Annual_Volatility_Pct,Risk_Bracket,SMA_20,RSI_14,Trend_Signal,Daily_95%_VaR_USD,MC_Prob_Up_Pct,MC_Worst_Case_Loss_Pct
Indices,^GSPC,S&P 500 Index,5335.884613325894,-0.42422807115035194,14.516189148984177,LOW RISK (Conservative),5412.7635202865185,30.516893491339843,HOLD,151.76130045732623,52.68000000000001,4.301364508754502
Indices,^IXIC,NASDAQ Composite,21560.610864532806,-0.03297522911410707,17.626728464105994,MEDIUM RISK (Moderate),22697.60894996188,26.42604743113067,BUY,176.32483872320296,52.28,5.258435917433833
Indices,^DJI,Dow Jones Industrial Average,38338.88393037626,-0.15520620186601883,11.356321484226296,LOW RISK (Conservative),38799.69322370705,39.916589268194514,HOLD,118.75358358401415,54.58,3.4168313545476945
Commodities,GC=F,Gold Futures,2533.8426148034255,-0.5117722734248401,13.461687728593096,LOW RISK (Conservative),2577.2650140678006,37.21018821036246,HOLD,137.19595639761303,54.459999999999994,4.038241897965927
Commodities,CL=F,Crude Oil Futures,110.5519934537888,0.9370650539208223,31.85863854563675,MEDIUM RISK (Moderate),108.17349426259321,50.63204186965233,HOLD,315.94282683577336,50.68,9.768475599678897
Commodities,SI=F,Silver Futures,69.96941752383076,0.6048383296358698,18.796626740244673,MEDIUM RISK (Moderate),70.36375572775717,42.63102818575098,HOLD,209.1588135467994,52.080000000000005,5.902261055417284
Stocks/Sectors,AAPL,Apple Inc. (Technology),281.1959030605888,1.221448778134108,21.85377738365199,MEDIUM RISK (Moderate),269.41897171656206,67.16444389101594,HOLD,216.4028139556785,52.68000000000001,6.604764670986284
Stocks/Sectors,XOM,Exxon Mobil (Energy),119.83579912757493,-0.902185985408405,24.830696850384328,MEDIUM RISK (Moderate),116.74261274578706,63.66100382123498,HOLD,255.34488031009218,51.22,7.670848361825581
Stocks/Sectors,JPM,JPMorgan Chase (Financials),279.67939558055417,1.817840382591508,21.528062567510545,MEDIUM RISK (Moderate),286.0930170344334,37.37432055681074,HOLD,211.73056321661738,51.339999999999996,6.600616802938261
Stocks/Sectors,JNJ,Johnson & Johnson (Healthcare),151.58045252638257,0.484328190571716,11.428303816721247,LOW RISK (Conservative),153.73459789154964,34.6626259130054,HOLD,120.56654743395043,55.16,3.3920848834069215
Stocks/Sectors,AMZN,Amazon.com (Consumer Discretionary),307.96546220112697,-0.06928838297586191,27.572529884034395,MEDIUM RISK (Moderate),305.81582613842386,54.15960453057391,HOLD,263.38916153565447,50.480000000000004,8.126832808541716
