Category,Ticker,Name,Last_Price_INR,Daily_Change_Pct,Annual_Volatility_Pct,Risk_Bracket,SMA_20,RSI_14,Trend_Signal,Daily_95%_VaR_INR,MC_Prob_Up_Pct,MC_Worst_Case_Loss_Pct
Indices,^NSEI,Nifty 50 Index (NSE),28527.138387250678,0.8118173630660858,11.378496545443525,LOW RISK (Conservative),28474.724637953565,41.51764869273865,HOLD,111.41492150026963,57.940000000000005,3.2387179166592297
Indices,^BSESN,BSE Sensex Index (BSE),96497.23425442369,-1.5065909781516567,11.306033459624286,LOW RISK (Conservative),95250.72604546214,62.462850500719576,HOLD,109.56489111028041,57.98,3.1919628640259248
ETFs (Commodity & Equity),GOLDBEES.NS,Nippon India Gold ETF (Gold Commodity Proxy),70.64089080022545,0.8262879524605811,13.701821125841738,LOW RISK (Conservative),68.44829831463093,69.36855846623303,SELL,139.1158893030636,56.49999999999999,3.9493317821895157
ETFs (Commodity & Equity),SILVERBEES.NS,Nippon India Silver ETF (Silver Commodity Proxy),102.83037223105347,0.16883975887272076,17.414443722325007,MEDIUM RISK (Moderate),106.08599594023156,29.248815576537524,BUY,174.66670411975153,53.959999999999994,5.364214894423383
ETFs (Commodity & Equity),NIFTYBEES.NS,Nippon India Nifty 50 ETF,322.6197041016991,0.017397368099911457,11.861586058347891,LOW RISK (Conservative),321.23909651299005,55.14780664565384,HOLD,115.25473361965336,57.66,3.456084447342452
Stocks/Sectors,RELIANCE.NS,Reliance Industries (Energy / Conglomerate),3387.055505192821,-1.0653441985092482,18.005295786291644,MEDIUM RISK (Moderate),3423.905418152367,48.83827082919214,HOLD,181.26182109635712,52.64,5.44644723657165
Stocks/Sectors,TCS.NS,Tata Consultancy Services (Information Technology),4789.672343219549,-0.6587354017286632,16.28979769182255,MEDIUM RISK (Moderate),4708.061757175383,61.26179648180502,HOLD,162.12915792314604,55.16,4.820630860497013
Stocks/Sectors,HDFCBANK.NS,HDFC Bank (Financials),1977.5731089768587,-1.7265962497201668,17.356165823381875,MEDIUM RISK (Moderate),2010.860317048421,38.70536047884253,HOLD,173.0505870054715,52.92,5.15227346383612
Stocks/Sectors,INFY.NS,Infosys Limited (Information Technology),2315.672425086183,-0.6241222109216451,19.93440910131215,MEDIUM RISK (Moderate),2287.520864724998,58.12203534856013,HOLD,197.39817047870295,52.52,5.837281875479261
Stocks/Sectors,ICICIBANK.NS,ICICI Bank (Financials),1161.5049231392402,-0.28405542374420617,18.111417670440257,MEDIUM RISK (Moderate),1132.611567305779,62.71454103995681,HOLD,188.83885446898563,54.82,5.480466546178397
